tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	29.1733	-0.5993	0.0000	0.0000	29.4922	 0.2826	 2.1446	1.0000	 0.5504	0.8751	 0.0461
2016-01-09	30.4799	 0.7073	0.0000	1.0000	30.1784	 0.9688	 2.7252	1.4783	 1.2629	0.8724	 0.0435
2016-01-16	30.7778	 1.0052	0.5889	1.5252	30.4710	 1.2614	 3.3743	2.0725	 1.5936	0.8300	 0.0011
2016-01-23	31.0559	 1.2833	1.8723	2.0000	29.0919	-0.1177	 3.9129	0.0145	 0.3236	0.8304	 0.0014
2016-01-30	29.2655	-0.5071	1.8723	0.0168	29.2646	 0.0551	 3.9129	0.6087	 0.6065	0.8356	 0.0068
2016-02-06	29.1452	-0.6274	1.8723	0.0000	29.6899	 0.4803	 3.9129	1.0000	 1.1414	0.8618	 0.0330
2016-02-13	29.3676	-0.4050	1.8723	0.0064	29.3172	 0.1077	 3.9129	0.7391	 0.8793	0.8904	 0.0615
2016-02-20	29.8569	 0.0843	1.8723	0.7148	29.8658	 0.6562	 3.6174	1.0000	 1.4151	0.8890	 0.0601
2016-02-27	30.2486	 0.4760	1.8727	1.0004	29.6565	 0.4470	 2.8452	1.0000	 1.1448	0.8381	 0.0092
2016-03-05	29.9445	 0.1719	1.8727	0.7680	29.8683	 0.6587	 1.7787	1.0000	 1.2957	0.8153	-0.0135
2016-03-12	30.4344	 0.6618	1.8763	1.0040	30.7049	 1.4954	 2.7961	2.0000	 2.0712	0.8155	-0.0134
2016-03-19	30.7884	 1.0158	2.5223	1.5808	30.2114	 1.0019	 3.4488	1.8551	 1.4910	0.8464	 0.0175
2016-03-26	30.7070	 0.9344	2.9109	1.6228	30.5768	 1.3672	 4.8009	2.7536	 1.7509	0.8701	 0.0412
2016-04-02	30.6980	 0.9254	3.4339	1.7632	30.2855	 1.0759	 5.3320	2.1884	 1.3539	0.8938	 0.0649
2016-04-09	30.1680	 0.3954	2.8450	1.0000	30.4374	 1.2278	 5.8390	2.9710	 1.4006	0.9047	 0.0758
2016-04-16	30.5688	 0.7962	1.7381	1.3308	30.3671	 1.1575	 6.5255	2.8551	 1.2403	0.8971	 0.0681
2016-04-23	30.2344	 0.4618	1.7381	1.0000	30.2403	 1.0307	 7.6093	2.6667	 1.1175	0.9011	 0.0722
2016-04-30	29.9014	 0.1288	1.7381	0.6752	30.1930	 0.9835	 7.8922	2.7101	 1.0754	0.8991	 0.0702
