tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	28.9190	-0.9361	0.0000	0.0000	28.7783	-0.5171	0.0000	0.0000	 0.4183	0.9087	-0.0185
2016-01-09	28.7714	-1.0838	0.0000	0.0000	28.6057	-0.6897	0.0000	0.0000	 0.3569	0.8978	-0.0294
2016-01-16	28.7970	-1.0581	0.0000	0.0000	28.3426	-0.9528	0.0000	0.0000	 0.1980	0.8572	-0.0700
2016-01-23	28.2661	-1.5890	0.0000	0.0000	28.0930	-1.2024	0.0000	0.0000	 0.0089	0.8709	-0.0562
2016-01-30	28.2024	-1.6527	0.0000	0.0000	27.8933	-1.4020	0.0000	0.0000	-0.1259	0.8709	-0.0562
2016-02-06	28.3849	-1.4703	0.0000	0.0000	28.2454	-1.0500	0.0000	0.0000	 0.2861	0.9116	-0.0156
2016-02-13	27.9506	-1.9045	0.0000	0.0000	27.7749	-1.5204	0.0000	0.0000	-0.1231	0.9042	-0.0230
2016-02-20	28.5810	-1.2741	0.0000	0.0000	28.4197	-0.8757	0.0000	0.0000	 0.5216	0.8729	-0.0543
2016-02-27	28.1433	-1.7118	0.0000	0.0000	28.4833	-0.8120	0.0000	0.0000	 0.5611	0.9279	 0.0008
2016-03-05	28.6242	-1.2309	0.0000	0.0000	28.7471	-0.5483	0.0000	0.0000	 0.8003	0.9174	-0.0098
2016-03-12	28.8168	-1.0383	0.0000	0.0000	28.4931	-0.8023	0.0000	0.0000	 0.5222	0.9071	-0.0200
2016-03-19	28.3535	-1.5016	0.0000	0.0000	28.5634	-0.7319	0.0000	0.0000	 0.4825	0.9049	-0.0222
2016-03-26	28.1194	-1.7358	0.0000	0.0000	28.3524	-0.9430	0.0000	0.0000	 0.0955	0.9020	-0.0252
2016-04-02	28.6507	-1.2045	0.0000	0.0000	28.7085	-0.5869	0.0000	0.0000	 0.2765	0.9152	-0.0119
2016-04-09	28.6267	-1.2284	0.0000	0.0000	28.3404	-0.9549	0.0000	0.0000	-0.2680	0.8970	-0.0302
2016-04-16	28.7993	-1.0558	0.0000	0.0000	28.9833	-0.3120	0.0000	0.0000	 0.2055	0.8700	-0.0571
2016-04-23	29.1232	-0.7320	0.0000	0.0000	29.1024	-0.1930	0.0000	0.0215	 0.2015	0.9080	-0.0192
2016-04-30	29.3682	-0.4869	0.0000	0.0000	29.7911	 0.4957	0.0000	1.0000	 0.7652	0.8975	-0.0297
2016-05-07	29.3723	-0.4829	0.0000	0.0000	29.1567	-0.1387	0.0000	0.0430	 0.0040	0.8951	-0.0321
