tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	29.6890	-0.2198	0.0000	0.1905	29.3698	-0.0321	0.0000	0.3517	 0.3158	0.9700	-0.0606
2016-01-09	29.9599	 0.0511	0.0000	0.5630	29.5110	 0.1091	0.0012	0.7586	 0.5795	0.9559	-0.0747
2016-01-16	29.9241	 0.0153	0.0000	0.4658	29.5007	 0.0988	0.0012	0.7490	 0.6769	0.9657	-0.0649
2016-01-23	29.7240	-0.1848	0.0000	0.0976	28.8889	-0.5130	0.0012	0.0000	 0.0822	0.9485	-0.0821
2016-01-30	29.5497	-0.3591	0.0000	0.0260	29.1451	-0.2568	0.0012	0.0000	 0.3567	0.9839	-0.0467
2016-02-06	29.7463	-0.1625	0.0000	0.2229	29.1899	-0.2120	0.0012	0.0703	 0.4191	0.9571	-0.0735
2016-02-13	29.4560	-0.4528	0.0000	0.0000	28.4508	-0.9511	0.0012	0.0000	-0.3024	0.9552	-0.0754
2016-02-20	28.7937	-1.1151	0.0000	0.0000	28.8857	-0.5162	0.0012	0.0000	 0.1573	0.9585	-0.0720
2016-02-27	29.3526	-0.5562	0.0000	0.0000	29.4271	 0.0252	0.0012	0.5076	 0.7265	0.9769	-0.0537
2016-03-05	29.5161	-0.3927	0.0000	0.0071	29.2491	-0.1528	0.0012	0.0589	 0.5766	0.9556	-0.0750
2016-03-12	29.4338	-0.4750	0.0000	0.0000	29.0447	-0.3572	0.0012	0.0000	 0.3998	0.9594	-0.0712
2016-03-19	29.1653	-0.7435	0.0000	0.0000	28.8586	-0.5433	0.0012	0.0000	 0.1698	0.9429	-0.0877
2016-03-26	28.9643	-0.9445	0.0000	0.0000	29.0922	-0.3096	0.0012	0.0000	 0.3044	0.9534	-0.0772
2016-04-02	29.1547	-0.7541	0.0000	0.0000	29.1269	-0.2750	0.0000	0.0000	 0.2404	0.9697	-0.0609
2016-04-09	29.8531	-0.0557	0.0000	0.4276	29.7696	 0.3678	0.0000	1.0000	 0.7847	0.9781	-0.0525
2016-04-16	29.4208	-0.4880	0.0000	0.0000	29.5738	 0.1719	0.0000	0.6730	 0.5014	0.9730	-0.0576
2016-04-23	29.3335	-0.5753	0.0000	0.0000	29.4393	 0.0374	0.0000	0.4506	 0.3407	1.0023	-0.0283
2016-04-30	29.4860	-0.4228	0.0000	0.0000	29.8333	 0.4314	0.0000	0.9791	 0.7108	1.0074	-0.0232
2016-05-07	29.8550	-0.0538	0.0000	0.3862	30.3039	 0.9021	0.0602	1.3745	 1.1544	1.0286	-0.0020
2016-05-14	30.1273	 0.2185	0.0000	0.9663	30.1385	 0.7366	0.0624	1.0152	 0.9629	1.0656	 0.0351
2016-05-21	30.0040	 0.0952	0.0000	0.7362	30.0877	 0.6858	0.0624	1.0000	 0.9608	1.0733	 0.0427
2016-05-28	30.0260	 0.1172	0.0000	0.6797	30.2517	 0.8498	0.0763	1.0266	 1.1864	1.0871	 0.0565
