tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	29.0513	-0.8119	0.0000	0.0000	28.9035	-0.3120	0.0847	0.0340	 0.7112	1.0163	 0.0260
2016-01-09	29.2650	-0.5982	0.0000	0.0000	28.9634	-0.2521	0.0847	0.0340	 0.8276	1.0060	 0.0157
2016-01-16	29.4484	-0.4148	0.0000	0.0494	28.7228	-0.4927	0.0847	0.0600	 0.6401	1.0092	 0.0189
2016-01-23	29.0670	-0.7963	0.0000	0.0001	28.7864	-0.4291	0.0847	0.0016	 0.7270	0.9976	 0.0073
2016-01-30	28.8177	-1.0455	0.0000	0.0000	28.7851	-0.4304	0.0847	0.0000	 0.7511	1.0213	 0.0310
2016-02-06	29.0309	-0.8323	0.0000	0.0000	28.7301	-0.4854	0.0847	0.1540	 0.7202	1.0636	 0.0733
2016-02-13	28.9574	-0.9059	0.0000	0.0000	28.6271	-0.5884	0.0847	0.1345	 0.6428	1.0609	 0.0706
2016-02-20	29.2497	-0.6136	0.0000	0.0208	28.9754	-0.2400	0.0194	0.3436	 0.9382	1.0358	 0.0455
2016-02-27	29.0865	-0.7768	0.0000	0.0000	28.4562	-0.7593	0.0019	0.0000	 0.3353	1.0291	 0.0388
2016-03-05	29.0794	-0.7839	0.0000	0.0000	29.1602	-0.0553	0.0019	0.3890	 0.9560	0.9982	 0.0079
2016-03-12	29.6593	-0.2040	0.0035	0.2404	29.2145	-0.0010	0.0046	0.4182	 0.9267	0.9972	 0.0069
2016-03-19	29.5774	-0.2859	0.0035	0.2249	29.3401	 0.1246	0.0046	0.6483	 0.9152	1.0086	 0.0183
2016-03-26	29.4885	-0.3748	0.0035	0.1893	29.4997	 0.2842	0.0058	0.8412	 0.8953	1.0072	 0.0169
2016-04-02	29.6901	-0.1731	0.0035	0.2879	29.5802	 0.3647	0.0058	0.9433	 0.7971	0.9934	 0.0031
2016-04-09	29.4371	-0.4262	0.0035	0.2242	29.3861	 0.1706	0.0058	0.5575	 0.4243	0.9897	-0.0006
