tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	29.1561	-0.2065	0.0000	0.3352	28.9689	 0.2879	 0.2817	0.7660	 0.4911	0.9416	 0.0985
2016-01-09	29.4800	 0.1174	0.0000	0.5024	29.3974	 0.7164	 0.4855	1.3191	 0.9040	0.8932	 0.0502
2016-01-16	30.5335	 1.1709	1.1413	1.9696	29.9053	 1.2243	 1.1279	2.0000	 1.4000	0.8475	 0.0044
2016-01-23	30.6392	 1.2766	2.4179	2.0000	29.3602	 0.6791	 2.1951	1.1915	 0.8700	0.8597	 0.0166
2016-01-30	28.8791	-0.4835	2.4179	0.0000	28.9379	 0.2568	 2.2011	0.9787	 0.4570	0.9084	 0.0653
2016-02-06	28.8772	-0.4854	2.4179	0.0000	29.4519	 0.7709	 2.2011	1.0000	 0.9855	0.9223	 0.0793
2016-02-13	29.3116	-0.0510	2.4179	0.4128	29.5483	 0.8672	 2.4896	1.5106	 1.0947	0.9249	 0.0819
2016-02-20	29.6723	 0.3097	2.4463	0.6784	29.8553	 1.1743	 2.8726	1.8723	 1.4317	0.9286	 0.0856
2016-02-27	29.6573	 0.2947	2.4463	0.9856	29.1006	 0.4196	 3.2262	1.0000	 0.7157	0.8740	 0.0310
2016-03-05	29.7559	 0.3933	2.4463	0.9464	29.7830	 1.1019	 3.1772	1.8936	 1.4377	0.8643	 0.0212
2016-03-12	30.4205	 1.0579	3.1278	1.6872	30.1281	 1.4470	 4.5191	2.5319	 1.8209	0.8160	-0.0271
2016-03-19	30.3861	 1.0235	3.7665	2.0176	29.9502	 1.2691	 5.3919	2.8085	 1.6119	0.8678	 0.0247
2016-03-26	30.2159	 0.8533	3.9010	1.2480	30.0536	 1.3726	 6.8706	3.2979	 1.6309	0.9058	 0.0628
2016-04-02	30.2084	 0.8458	3.9710	1.1368	29.9391	 1.2581	 8.1060	3.3404	 1.4313	0.9476	 0.1045
2016-04-09	29.9152	 0.5526	2.8297	1.0000	30.0985	 1.4174	 8.9613	3.5745	 1.5062	0.9354	 0.0924
2016-04-16	30.0074	 0.6448	1.5531	1.0000	29.9909	 1.3098	 9.1523	3.5745	 1.3379	0.9031	 0.0600
2016-04-23	29.9282	 0.5656	1.5531	1.0000	29.7826	 1.1015	10.4883	3.3191	 1.2145	0.9037	 0.0607
2016-04-30	29.9440	 0.5814	1.5934	0.9152	30.0036	 1.3226	11.5209	4.0000	 1.5217	0.9084	 0.0653
2016-05-07	30.0601	 0.6975	1.7273	1.1496	30.2760	 1.5949	12.4668	4.0000	 1.8772	0.9410	 0.0978
2016-05-14	29.8682	 0.5056	1.6990	1.0000	29.6253	 0.9443	13.0981	1.6383	 1.3115	0.9807	 0.1377
2016-05-21	29.9877	 0.6251	1.6990	0.9664	30.1883	 1.5072	14.0200	3.6809	 1.9713	1.0146	 0.1716
2016-05-28	29.6913	 0.3287	1.6990	0.8688	29.6381	 0.9570	14.7200	2.2766	 1.5209	1.0849	 0.2418
2016-06-04	29.6841	 0.3215	1.0175	0.8608	29.6643	 0.9832	13.7662	2.0851	 1.6462	1.1890	 0.3459
2016-06-11	29.6870	 0.3244	0.3788	0.7152	29.4226	 0.7415	13.2557	1.3191	 1.5036	1.1682	 0.3251
2016-06-18	29.0419	-0.3207	0.2442	0.0000	28.9723	 0.2913	11.9394	0.9787	 1.1909	1.0432	 0.2001
2016-06-25	29.4153	 0.0527	0.1742	0.5280	29.1917	 0.5106	10.5013	1.0000	 1.6009	1.1166	 0.2735
2016-07-02	29.7025	 0.3399	0.1742	0.8480	29.4415	 0.7604	 9.0385	1.5106	 2.0406	1.1451	 0.3021
2016-07-09	29.4663	 0.1037	0.1742	0.7000	28.9185	 0.2374	 7.9098	1.0000	 1.7074	1.0173	 0.1742
2016-07-16	29.0760	-0.2866	0.1742	0.0000	28.7460	 0.0649	 6.5668	0.6809	 1.7083	0.9085	 0.0655
2016-07-23	28.4905	-0.8721	0.1339	0.0000	28.5991	-0.0819	 5.5349	0.4468	 1.6596	0.9218	 0.0788
2016-07-30	28.0749	-1.2877	0.0000	0.0000	28.2760	-0.4051	 4.3011	0.0000	 1.4291	0.9825	 0.1394
2016-08-06	28.1816	-1.1810	0.0000	0.0000	28.1555	-0.5255	 3.2870	0.0000	 1.4040	0.9540	 0.1110
2016-08-13	28.2884	-1.0742	0.0000	0.0000	28.0421	-0.6389	 1.9517	0.0000	 1.3832	0.8864	 0.0433
2016-08-20	27.9602	-1.4024	0.0000	0.0000	27.8494	-0.8317	 1.1053	0.0000	 1.2098	0.8301	-0.0130
2016-08-27	27.7851	-1.5775	0.0000	0.0000	27.9560	-0.7251	 0.7177	0.0000	 1.3053	0.8875	 0.0444
2016-09-03	28.0587	-1.3039	0.0000	0.0000	27.8536	-0.8274	 0.3551	0.0000	 1.1930	0.9955	 0.1524
2016-09-10	27.7318	-1.6308	0.0000	0.0000	27.8011	-0.8800	 0.1647	0.0000	 1.1294	0.9514	 0.1083
2016-09-17	27.9405	-1.4221	0.0000	0.0000	28.5894	-0.0917	 0.1647	0.4255	 1.8581	0.9332	 0.0902
2016-09-24	28.3750	-0.9876	0.0000	0.0000	28.6130	-0.0681	 0.1304	0.5106	 1.7096	0.9587	 0.1157
2016-10-01	29.1442	-0.2184	0.0000	0.0096	28.9294	 0.2483	 0.0000	1.0000	 1.8532	1.0391	 0.1961
2016-10-08	29.1812	-0.1814	0.0000	0.1752	28.4355	-0.2455	 0.0000	0.2766	 1.1853	1.0622	 0.2191
2016-10-15	29.1706	-0.1920	0.0000	0.1880	29.2849	 0.6038	 0.0000	1.0000	 1.8611	0.9967	 0.1537
2016-10-22	28.6046	-0.7580	0.0000	0.0000	28.9134	 0.2323	 0.0000	1.0000	 1.2785	1.0312	 0.1881
2016-10-29	29.0616	-0.3010	0.0000	0.1688	29.2068	 0.5257	 0.0000	1.0000	 1.3604	1.0361	 0.1930
2016-11-05	29.2355	-0.1271	0.0000	0.3920	28.8985	 0.2174	 0.0164	0.7447	 0.8413	1.0438	 0.2008
2016-11-12	29.8108	 0.4483	0.0000	0.8640	29.6557	 0.9747	 0.3049	1.3830	 1.3877	1.0334	 0.1904
2016-11-19	29.5709	 0.2083	0.0000	0.7824	29.6162	 0.9351	 0.6449	1.3830	 1.2455	1.0404	 0.1973
2016-11-26	29.6909	 0.3283	0.0000	1.0000	29.8794	 1.1983	 1.4902	2.0000	 1.4894	1.0326	 0.1895
2016-12-03	30.1522	 0.7896	0.3836	1.3456	29.6636	 0.9826	 2.5309	1.5106	 1.2540	1.0328	 0.1897
2016-12-10	30.0142	 0.6516	0.3836	1.0000	29.4387	 0.7577	 2.8781	1.4255	 1.0098	1.0957	 0.2527
2016-12-17	30.0034	 0.6408	0.3836	1.0000	29.0926	 0.4115	 3.0479	1.0000	 0.6468	1.1127	 0.2696
2016-12-24	28.6232	-0.7394	0.3836	0.0000	28.8247	 0.1436	 3.0479	0.8085	 0.3643	1.1245	 0.2814
2016-12-31	28.4802	-0.8824	0.3836	0.0000	28.6643	-0.0168	 3.0479	0.4043	 0.1872	1.0534	 0.2104
2017-01-07	28.2244	-1.1382	0.3836	0.0000	28.7111	 0.0300	 3.0479	0.5106	 0.2217	1.0244	 0.1814
2017-01-14	28.6779	-0.6847	0.3836	0.0000	28.6536	-0.0274	 3.0479	0.3617	 0.1481	1.0549	 0.2118
2017-01-21	28.8171	-0.5455	0.3836	0.0000	28.6879	 0.0068	 3.0479	0.4043	 0.1934	1.0620	 0.2189
2017-01-28	28.9554	-0.4072	0.3836	0.3072	28.7740	 0.0930	 3.0315	0.5745	 0.2915	1.0455	 0.2024
2017-02-04	28.2625	-1.1001	0.3836	0.0000	27.8753	-0.8057	 2.7434	0.0000	-0.5947	1.0372	 0.1942
2017-02-11	28.6196	-0.7430	0.3836	0.0000	28.4796	-0.2015	 2.4034	0.0000	 0.0223	1.0170	 0.1740
2017-02-18	28.4249	-0.9377	0.3836	0.0000	28.2619	-0.4191	 1.5585	0.0000	-0.1709	0.9479	 0.1047
2017-02-25	28.4482	-0.9144	0.0000	0.0000	28.6896	 0.0085	 0.5174	0.3830	 0.2966	0.9210	 0.0779
2017-03-04	29.1131	-0.2495	0.0000	0.0000	29.0662	 0.3851	 0.1702	1.0000	 0.7134	0.8488	 0.0058
2017-03-11	28.9203	-0.4423	0.0000	0.0000	29.3347	 0.6536	 0.0000	1.0000	 1.0215	0.8921	 0.0491
2017-03-18	29.5300	 0.1674	0.0000	0.8632	29.2921	 0.6111	 0.0000	1.0000	 0.9660	0.9146	 0.0716
2017-03-25	28.8549	-0.5077	0.0000	0.0024	29.1679	 0.4868	 0.0000	1.0000	 0.7572	0.9900	 0.1470
2017-04-01	29.2478	-0.1148	0.0000	0.4120	28.8838	 0.2028	 0.0000	1.0000	 0.3885	1.0097	 0.1667
2017-04-08	28.8731	-0.4895	0.0000	0.0000	29.1121	 0.4311	 0.0000	1.0000	 0.5321	0.9560	 0.1130
