tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	29.1259	-0.1311	0.0169	0.3776	28.9882	 0.4331	 0.6800	0.9333	 0.5248	0.9554	 0.1160
2016-01-09	29.5897	 0.3327	0.0169	0.8304	29.7149	 1.1598	 1.1556	1.6889	 1.2521	0.9099	 0.0704
2016-01-16	30.5124	 1.2554	1.1004	1.8112	29.9947	 1.4396	 2.1151	2.0000	 1.5319	0.8547	 0.0153
2016-01-23	30.7603	 1.5033	2.6038	2.0168	29.2318	 0.6767	 3.2964	1.0000	 0.7673	0.8697	 0.0302
2016-01-30	29.2439	-0.0130	2.6038	0.5172	29.1281	 0.5730	 3.3298	1.0000	 0.6634	0.9112	 0.0718
2016-02-06	28.8903	-0.3667	2.6038	0.0000	29.5660	 1.0109	 3.4283	1.8778	 1.0994	0.9252	 0.0858
2016-02-13	29.3915	 0.1345	2.6038	0.7300	29.4357	 0.8806	 3.7530	1.4222	 0.9669	0.9299	 0.0904
2016-02-20	29.7815	 0.5245	2.6229	0.9336	29.9009	 1.3458	 4.4830	2.6111	 1.4648	0.9330	 0.0936
2016-02-27	29.7393	 0.4823	2.6286	1.0032	29.1376	 0.5824	 4.9713	1.0000	 0.7469	0.8847	 0.0453
2016-03-05	29.8027	 0.5457	2.7098	1.0720	30.0119	 1.4568	 4.9712	2.6778	 1.6667	0.8734	 0.0341
2016-03-12	30.4451	 1.1881	3.5355	2.0644	30.3581	 1.8030	 6.6187	3.1556	 2.0586	0.8147	-0.0248
2016-03-19	30.4257	 1.1687	4.5976	2.5560	30.0281	 1.4730	 8.0393	3.4667	 1.7251	0.8775	 0.0381
2016-03-26	30.2850	 1.0280	5.2682	2.1396	30.2364	 1.6813	 9.6594	3.7333	 1.8941	0.9065	 0.0671
2016-04-02	30.3624	 1.1054	6.0799	2.4740	29.9520	 1.3969	10.8688	3.8778	 1.5699	0.9529	 0.1135
2016-04-09	29.8675	 0.6105	5.0012	1.0144	30.0397	 1.4846	11.4453	3.9444	 1.6186	0.9365	 0.0971
2016-04-16	29.8307	 0.5737	3.4979	1.0000	29.7909	 1.2358	11.6569	3.5222	 1.3530	0.9110	 0.0715
2016-04-23	29.6419	 0.3849	3.4979	0.9324	29.5241	 0.9690	12.7769	2.7000	 1.2117	0.9111	 0.0717
2016-04-30	29.2410	-0.0159	3.4979	0.5080	29.4266	 0.8714	13.2916	2.4111	 1.2406	0.9076	 0.0682
2016-05-07	29.4294	 0.1725	3.4979	0.6704	29.9167	 1.3616	13.7904	3.6000	 1.8539	0.9431	 0.1036
2016-05-14	29.5305	 0.2735	3.4787	0.9436	29.4061	 0.8510	13.8749	1.0333	 1.4690	0.9821	 0.1427
2016-05-21	29.5298	 0.2729	3.5062	0.6896	29.7720	 1.2169	14.1153	3.0333	 1.9052	1.0190	 0.1795
2016-05-28	29.4486	 0.1917	3.4250	0.8100	29.2784	 0.7233	14.1267	1.0000	 1.4736	1.0920	 0.2526
2016-06-04	29.6659	 0.4090	2.5824	0.8740	29.6311	 1.0760	12.9579	3.1000	 1.8887	1.1956	 0.3562
2016-06-11	29.7982	 0.5412	1.5983	1.0372	29.5967	 1.0416	12.5496	3.2667	 1.9158	1.1810	 0.3416
2016-06-18	29.2319	-0.0250	0.9277	0.4740	29.2059	 0.6508	11.4313	1.0000	 1.6466	1.0592	 0.2197
2016-06-25	29.6021	 0.3452	0.1160	0.8100	29.3886	 0.8334	 9.9343	1.5222	 2.0293	1.1324	 0.2930
2016-07-02	29.8224	 0.5655	0.1111	1.0000	29.5116	 0.9564	 8.5002	2.1889	 2.3522	1.1497	 0.3103
2016-07-09	29.4936	 0.2366	0.1111	0.8120	28.8507	 0.2956	 7.4459	1.0000	 1.8926	1.0105	 0.1710
2016-07-16	28.6789	-0.5781	0.1111	0.0000	28.6921	 0.1370	 6.2923	0.8333	 1.9160	0.9058	 0.0664
2016-07-23	28.1948	-1.0622	0.1111	0.0000	28.4031	-0.1520	 5.6786	0.2111	 1.7284	0.9226	 0.0832
2016-07-30	27.8671	-1.3899	0.1111	0.0000	28.2676	-0.2876	 4.8554	0.0000	 1.6893	0.9895	 0.1501
2016-08-06	27.9921	-1.2649	0.1111	0.0000	28.0080	-0.5471	 4.0364	0.0000	 1.5280	0.9695	 0.1301
2016-08-13	27.8949	-1.3620	0.0780	0.0000	27.9648	-0.5903	 3.1426	0.0000	 1.5798	0.8860	 0.0466
2016-08-20	28.0280	-1.2289	0.0780	0.0000	27.7561	-0.7990	 2.6711	0.0000	 1.4003	0.8015	-0.0379
2016-08-27	27.7442	-1.5128	0.0780	0.0000	27.7979	-0.7572	 2.1911	0.0000	 1.4410	0.8739	 0.0345
2016-09-03	27.9041	-1.3529	0.0000	0.0000	27.7937	-0.7614	 1.1792	0.0000	 1.4363	0.9986	 0.1591
2016-09-10	27.6978	-1.5592	0.0000	0.0000	27.8457	-0.7094	 0.6283	0.0000	 1.4872	0.9572	 0.1177
2016-09-17	28.0281	-1.2289	0.0000	0.0000	28.5637	 0.0086	 0.4402	0.5111	 2.1544	0.9352	 0.0958
2016-09-24	28.4592	-0.7977	0.0000	0.0000	28.5347	-0.0204	 0.3389	0.5111	 1.9592	0.9641	 0.1247
2016-10-01	29.0775	-0.1795	0.0000	0.0652	28.7694	 0.2143	 0.0000	1.0000	 2.0273	1.0455	 0.2061
2016-10-08	28.8765	-0.3805	0.0000	0.0000	28.5657	 0.0106	 0.0000	0.4778	 1.6558	1.0655	 0.2260
2016-10-15	29.0079	-0.2490	0.0000	0.0072	29.0957	 0.5406	 0.0000	1.0000	 2.0177	0.9926	 0.1531
2016-10-22	28.8409	-0.4161	0.0000	0.0000	28.9111	 0.3560	 0.0000	1.0000	 1.5894	1.0462	 0.2068
2016-10-29	29.4538	 0.1969	0.0000	0.6912	29.3532	 0.7981	 0.0662	1.1778	 1.7889	1.0523	 0.2129
2016-11-05	29.5921	 0.3351	0.0000	0.8208	28.9251	 0.3700	 0.1080	1.0000	 1.1169	1.0583	 0.2189
2016-11-12	29.8001	 0.5432	0.0000	0.9960	29.6406	 1.0854	 0.5791	1.7889	 1.5899	1.0453	 0.2058
2016-11-19	29.3825	 0.1255	0.0000	0.6844	29.3439	 0.7888	 1.1716	1.2778	 1.1474	1.0493	 0.2099
2016-11-26	29.3298	 0.0728	0.0000	0.8508	29.5744	 1.0193	 1.5564	1.5889	 1.3058	1.0367	 0.1972
2016-12-03	30.1270	 0.8700	0.2573	1.2400	29.6116	 1.0564	 2.5962	1.9111	 1.2711	1.0525	 0.2130
2016-12-10	30.1157	 0.8588	0.6518	1.3664	29.5381	 0.9830	 3.5106	2.0000	 1.1257	1.1132	 0.2738
2016-12-17	30.0326	 0.7756	0.7580	1.1048	29.0224	 0.4673	 3.8199	1.0000	 0.5580	1.1364	 0.2970
2016-12-24	28.8833	-0.3736	0.7580	0.0000	28.7612	 0.2061	 3.8199	1.0000	 0.2970	1.1475	 0.3081
2016-12-31	28.6268	-0.6301	0.7580	0.0000	28.7276	 0.1724	 3.8199	0.8667	 0.2641	1.0879	 0.2485
2017-01-07	28.2677	-0.9892	0.7580	0.0000	28.7607	 0.2056	 3.8199	0.9000	 0.2977	1.0487	 0.2093
2017-01-14	28.7897	-0.4672	0.7580	0.0000	28.7093	 0.1542	 3.8249	0.8111	 0.2466	1.0836	 0.2442
2017-01-21	28.9441	-0.3129	0.7580	0.1268	28.6926	 0.1374	 3.7590	0.7778	 0.2288	1.0768	 0.2374
2017-01-28	28.8377	-0.4192	0.7580	0.2596	28.9266	 0.3714	 3.7169	0.9889	 0.4616	1.0625	 0.2231
2017-02-04	28.4579	-0.7991	0.7580	0.0000	28.0129	-0.5422	 3.2454	0.0000	-0.4533	1.0579	 0.2185
2017-02-11	28.7760	-0.4810	0.7580	0.0000	28.4683	-0.0868	 2.6538	0.0000	 0.0011	1.0413	 0.2019
2017-02-18	28.5069	-0.7501	0.7580	0.0000	28.5798	 0.0247	 2.2680	0.5778	 0.1324	0.9498	 0.1104
2017-02-25	28.4347	-0.8222	0.5007	0.0000	28.6740	 0.1189	 1.2284	0.9000	 0.2734	0.9137	 0.0743
2017-03-04	29.0052	-0.2518	0.1062	0.1284	28.9501	 0.3950	 0.3140	0.9889	 0.5963	0.8351	-0.0043
2017-03-11	28.7486	-0.5083	0.0000	0.0000	28.8971	 0.3420	 0.0049	1.0000	 0.5899	0.8856	 0.0461
2017-03-18	29.4644	 0.2074	0.0000	0.9648	29.1394	 0.5843	 0.0066	1.0000	 0.8422	0.9218	 0.0823
2017-03-25	29.2006	-0.0564	0.0000	0.5004	29.0964	 0.5413	 0.0066	1.0000	 0.7599	1.0135	 0.1741
