tanggal	sst_mur	hs_mur	dhw_mur	ba_mur	sst_ct5km	hs_ct5km	dhw_ct5km	ba_ct5km	ssta_ct5km	adt	sla
2016-01-02	28.9398	-1.1003	0.0599	0.0000	29.4922	 0.1460	 1.1916	1.0000	 0.4552	0.9847	 0.0002
2016-01-09	29.7848	-0.2553	0.0599	0.0398	30.1784	 0.5132	 1.1990	1.4783	 0.8737	0.9794	-0.0050
2016-01-16	30.2588	 0.2187	0.0599	0.8229	30.4710	 0.9565	 1.4777	2.0725	 1.3701	0.9758	-0.0086
2016-01-23	30.6315	 0.5913	0.0599	1.0000	29.0919	 0.5777	 1.9124	0.0145	 1.0559	1.0043	 0.0199
2016-01-30	30.0183	-0.0218	0.0599	0.5446	29.2646	 0.0963	 1.9124	0.6087	 0.6391	1.0532	 0.0688
2016-02-06	29.6556	-0.3846	0.0599	0.0012	29.6899	 0.2616	 1.9124	1.0000	 0.8689	1.0490	 0.0645
2016-02-13	29.4858	-0.5544	0.0599	0.0000	29.3172	-0.2988	 1.9114	0.7391	 0.3730	1.0671	 0.0827
2016-02-20	29.6769	-0.3632	0.0599	0.0000	29.8658	 0.3673	 1.9114	1.0000	 1.0213	1.0559	 0.0715
2016-02-27	29.8954	-0.1448	0.0599	0.1036	29.6565	 0.7162	 1.8324	1.0000	 1.3193	1.0480	 0.0636
2016-03-05	29.8046	-0.2355	0.0599	0.0010	29.8683	 0.3524	 1.3261	1.0000	 0.9050	1.0465	 0.0621
2016-03-12	30.2475	 0.2073	0.0000	0.9182	30.7049	 0.9492	 1.2440	2.0000	 1.4507	1.0488	 0.0644
2016-03-19	29.6330	-0.4072	0.0000	0.0000	30.2114	 0.5205	 1.2600	1.8551	 0.9565	1.0560	 0.0716
2016-03-26	30.4082	 0.3680	0.0000	1.0000	30.5768	 0.9754	 1.5007	2.7536	 1.3394	1.0340	 0.0496
2016-04-02	30.6621	 0.6219	0.0050	1.0048	30.2855	 1.2630	 2.5884	2.1884	 1.5539	1.0356	 0.0512
2016-04-09	30.1399	 0.0997	0.0050	0.8434	30.4374	 0.8534	 2.7225	2.9710	 1.0703	1.0370	 0.0526
2016-04-16	30.0369	-0.0032	0.0050	0.4882	30.3671	 0.6615	 2.3056	2.8551	 0.8268	1.0300	 0.0456
2016-04-23	30.3552	 0.3150	0.0050	1.0000	30.2403	 0.5971	 2.4013	2.6667	 0.8518	1.0193	 0.0349
2016-04-30	29.6523	-0.3879	0.0050	0.0051	30.1930	 0.5825	 2.4013	2.7101	 0.9269	1.0144	 0.0300
2016-05-07	30.3151	 0.2749	0.0050	1.0000	31.0220	 0.9708	 2.6200	3.6377	 1.4022	1.0187	 0.0343
2016-05-14	30.3466	 0.3064	0.0050	0.9999	30.2014	 0.7174	 3.0186	2.6522	 1.2386	1.0311	 0.0466
2016-05-21	29.9299	-0.1103	0.0050	0.1319	30.7843	 0.5174	 3.0186	3.9710	 1.2065	1.0096	 0.0251
2016-05-28	30.0493	 0.0091	0.0050	0.4828	30.0313	 0.5219	 3.0186	1.0435	 1.3938	0.9878	 0.0034
2016-06-04	29.7048	-0.3354	0.0050	0.0000	30.2265	-0.0127	 2.4950	2.6957	 1.0411	1.0272	 0.0427
2016-06-11	29.9902	-0.0500	0.0050	0.4138	30.0674	 0.0440	 2.4791	1.0000	 1.2822	1.0502	 0.0657
2016-06-18	29.3424	-0.6978	0.0050	0.0000	28.9743	-0.3694	 2.2384	0.1739	 1.0550	1.0546	 0.0702
2016-06-25	29.0482	-0.9919	0.0000	0.0000	29.4030	-0.6972	 1.1438	0.6812	 0.9239	1.0424	 0.0579
2016-07-02	28.8665	-1.1737	0.0000	0.0000	29.4628	-0.8928	 0.7303	1.0000	 0.9248	1.0374	 0.0530
2016-07-09	28.3003	-1.7398	0.0000	0.0000	29.1755	-1.3658	 0.7127	0.4638	 0.6480	1.0240	 0.0395
2016-07-16	28.0299	-2.0103	0.0000	0.0000	29.0297	-1.5829	 0.6172	0.3623	 0.6097	1.0000	 0.0156
2016-07-23	28.0691	-1.9711	0.0000	0.0000	29.1704	-1.2518	 0.6172	0.3768	 1.0074	1.0122	 0.0277
2016-07-30	28.0320	-2.0082	0.0000	0.0000	29.1017	-1.6723	 0.3988	0.0000	 0.6546	1.0211	 0.0366
2016-08-06	28.1062	-1.9340	0.0000	0.0000	28.6465	-1.8200	 0.0000	0.0000	 0.5736	1.0260	 0.0416
2016-08-13	27.6403	-2.3999	0.0000	0.0000	28.6158	-1.8379	 0.0000	0.0000	 0.6225	0.9752	-0.0093
2016-08-20	27.7658	-2.2744	0.0000	0.0000	28.6587	-1.9536	 0.0000	0.0000	 0.4772	0.9878	 0.0033
2016-08-27	27.6681	-2.3721	0.0000	0.0000	28.6923	-1.6253	 0.0000	0.0000	 0.7360	0.9847	 0.0003
2016-09-03	28.3894	-1.6508	0.0000	0.0000	29.0567	-1.1191	 0.0000	0.2464	 1.1738	0.9837	-0.0008
2016-09-10	28.4798	-1.5603	0.0000	0.0000	28.4259	-1.0800	 0.0000	0.0000	 1.1434	1.0134	 0.0289
2016-09-17	28.6515	-1.3887	0.0000	0.0000	29.2658	-0.6660	 0.0000	0.5797	 1.4371	1.0119	 0.0274
2016-09-24	29.2870	-0.7532	0.0000	0.0000	29.3457	-0.3657	 0.0000	1.0000	 1.4910	1.0186	 0.0342
2016-10-01	29.4148	-0.6254	0.0000	0.0101	29.5568	-0.0166	 0.0000	1.0000	 1.5946	1.0294	 0.0449
2016-10-08	29.6218	-0.4184	0.0000	0.0199	29.1941	-0.6567	 0.0000	0.5942	 0.7074	1.0173	 0.0329
2016-10-15	29.3564	-0.6837	0.0000	0.0000	29.5133	-0.1997	 0.0000	0.8406	 0.9177	1.0155	 0.0311
2016-10-22	29.6413	-0.3988	0.0000	0.0038	29.2093	-0.0400	 0.0000	0.5217	 0.8250	1.0519	 0.0675
2016-10-29	29.7926	-0.2476	0.0000	0.0710	29.7587	-0.4543	 0.0000	1.0000	 0.1587	1.0686	 0.0842
